timestamp,text
00:01,"Kickoff! Let’s go Cityyy 💙 #UCLFinal"
00:02,"Inter already pressing high lol, not even a second wasted."
00:03,"Bro my stream is buffering at the FIRST second 😭"
00:05,"Atmosphere in Istanbul sounds insane right now."
00:07,"Why is my dad screaming louder than the commentators."
00:08,"Haaland vs Onana is the battle we all came for."
00:10,"Imagine Lukaku comes in and wins it in 90+5."
00:12,"Already nervous and it’s been 12 seconds."
00:13,"Ref blows whistle and my neighbor lit fireworks. Too soon."
00:15,"Pep wearing the same sweater again, it’s destiny."
00:16,"Inter’s kit >>> City’s kit tonight don’t lie."
00:18,"Ball goes out and some guy near me shouted GOAL 🤦‍♂️"
00:20,"City fans in full voice, sounds like Manchester flew to Turkey."
00:21,"Watching this final from work toilet. Priorities."
00:22,"Literally shaking rn, football is life."
00:23,"The cameraman keeps zooming on Pep’s bald head 💀"
00:24,"I swear Barella runs like he’s late for school."
00:25,"Man if Haaland scores before minute 5 I’m buying his shirt."
00:27,"Commentator said ‘chess match’ already, take a shot."
00:28,"Why is my dog barking at the TV every time the ball rolls."
00:30,"Dimarco first touch is butter smooth."
00:31,"First throw-in. Huge moment. History made."
00:32,"The crowd whistling every City pass. Turkish passion."
00:34,"I can’t feel my hands this tension is insane."
00:35,"Bro I can hear drums through my laptop speakers."
00:36,"Imagine if this ends 0-0 and pens. Kill me now."
00:38,"City just rotating the ball like it’s training."
00:39,"Why does Ederson look like he’s in a nightclub ad."
00:40,"First foul incoming… I can smell it."
00:42,"Okay who else thinks Inter look sharper?"
00:43,"Already 0:43 and no goals. Fraudball."
00:44,"Betting app already crashed lol."
00:45,"Pep chewing gum like it owes him money."
00:46,"If Inter wins I’m deleting Twitter."
00:47,"This final is just Man City vs Bald Fraud memes."
00:48,"First long ball attempt. Classic football heritage."
00:49,"Did I just see Haaland smile? Terrifying."
00:50,"De Bruyne touched the ball. Goosebumps."
00:52,"Guy behind me in the pub just shouted ‘come on Arsenal’???"
00:53,"Crowd is louder than my alarm clock."
00:55,"Stadium lights look like alien invasion."
00:56,"Bro who else gets chills when anthem plays replayed."
00:57,"City in possession but I’m only watching Haaland’s haircut."
00:59,"Inter ultras traveling like it’s a religion."
01:00,"First minute gone, my heart rate 150 bpm."
01:02,"Every Inter clearance feels like a goal celebration."
01:03,"The cameraman nearly missed the ball just now 💀"
01:04,"Imagine Turkish coffee + this final = unstoppable combo."
01:06,"Bro is it me or the ref looks like he’s on holiday."
01:07,"I swear I saw a fan with a plastic trumpet 😂"
01:08,"No way I’m blinking for 90 minutes straight."
01:09,"City tiki-taka activated."
01:10,"The Inter bench looks tense already."
01:12,"This pace is slower than my internet."
01:13,"Wait someone just shouted ‘Viva Ronaldo’ on the mic??"
01:15,"Lautaro chasing Ederson like it’s personal beef."
01:16,"Pep’s notes already soaked in sweat."
01:17,"Someone tweeted ‘this game will cure my depression’ lmao."
01:18,"Throw-in Inter. Crowd whistling like crazy."
01:20,"This final has 0% chill so far."
01:21,"My grandma asked who Messi plays for here…."
01:22,"Ederson’s clearance nearly hit the moon."
01:23,"Every touch from De Bruyne looks illegal."
01:24,"Dimarco moving like he’s got cheat codes."
01:25,"If City don’t score by 10 I’m turning off."
01:26,"My pizza delivery guy also watching the match, respect."
01:27,"Crowd cam shows a guy crying already."
01:28,"UCL Final watch party in my room = 2 people and a cat."
01:29,"First nervous sip of beer down. 90 more to go."
01:30,"Minute 1:30 and Twitter already wild."
01:32,"City fans chanting louder every time they pass sideways."
01:34,"The ref’s whistle is so sharp it hurts."
01:35,"Ball nearly out for corner but saved. Gasps all around."
01:37,"Onana yelling louder than commentators."
01:38,"Pep pacing like he’s lost his car keys."
01:39,"Bro in Istanbul holding a parrot in the stands? Wtf."
01:40,"Haaland with first sprint, goosebumps."
01:42,"The pitch looks like FIFA graphics maxed out."
01:43,"Inter already fouling in spirit not in law."
01:44,"City’s backline just chilling like Sunday picnic."
01:45,"I’m literally sweating more than the players."
01:46,"First misplaced pass. Crowd groans."
01:47,"Bro who else feels like ball is heavier tonight?"
01:48,"Fans whistling every Ederson touch lol."
01:49,"Barella’s hair not moving, defying physics."
01:50,"This feels more like gladiator arena than football."
01:51,"My uncle texting me Inter 3-0 confirmed. Ok."
01:52,"Guy with vuvuzela on TV again omg."
01:53,"I can’t sit still. Pacing my room like Pep."
01:55,"City just probing, Inter absorbing. Chess begins."
01:56,"Camera zooms Haaland. Twitter breaks."
01:57,"Crowd throwing confetti already. Premature."
01:58,"Commentator already comparing this to 1999 final."
01:59,"My stream 30 seconds behind. RIP spoilers."
02:00,"Exactly 2:00. No goals. Fraudball confirmed."
02:01,"Inter fans louder now, love this energy."
02:02,"Ball switching sides, both teams cautious."
02:03,"De Bruyne first real involvement. Crowd rises."
02:04,"Ederson nearly slipped. My soul left body."
02:05,"Why is cameraman filming random bald fans."
02:06,"Bro this game smells like extra time already."
02:07,"City pass count higher than my bank account."
02:08,"I swear someone just shouted Mourinho in the crowd."
02:09,"First mini scuffle in midfield. Tempers early."
02:10,"Pep yelling in Catalan. Pure cinema."
02:12,"Minute 2:12 and Twitter already wrote 10k memes."
02:13,"Ref running like PE teacher chasing late kid."
02:14,"Crowd whistling louder than stadium speakers."
02:15,"Inter possession spell starts."
02:16,"Dimarco on left wing, looking dangerous."
02:17,"My TV lagging and I’m blaming UEFA."
02:18,"This stadium is literally vibrating."
02:19,"Martínez pressing Ederson like it’s war."
02:20,"Bro if Inter score now I’m eating my jersey."
02:21,"First real Inter attack incoming?"
02:22,"Ball recycled back to midfield."
02:23,"Why’s cameraman zooming on random kid eating chips."
02:24,"Crowd tension visible. Insane atmosphere."
02:25,"My goosebumps have goosebumps."
02:26,"City pressing higher now."
02:27,"My aunt thought this was rugby. Help."
02:28,"Every clearance feels like heart attack."
02:29,"Minute 2:29. Still 0-0. Feels like eternity."
02:30,"2:30 into the final. My nails already gone."
02:31,"Inter passing calmly at the back, City fans whistling louder."
02:32,"Bro how is Barella everywhere already."
02:33,"Random fan waving inflatable banana on screen 💀"
02:34,"City starting to press higher, crowd volume rises."
02:35,"Pep screaming instructions like he’s ordering fast food."
02:36,"First long ball towards Lautaro, Stones clears calmly."
02:37,"My pulse is not normal. And it’s only minute 2:37."
02:38,"Commentator said 'cagey affair', take another shot."
02:39,"Why is cameraman obsessed with bald heads today?"
02:40,"Ball nearly slipped under Ederson’s foot, scary."
02:41,"Inter midfield pressing looks organized. Respect."
02:42,"De Bruyne already dropping deeper, tactical shift?"
02:43,"Someone in pub just shouted 'shoot!' from 40 meters away."
02:44,"Dimarco vs Walker duel looks spicy."
02:45,"Minute 2:45. Still no foul given, miracle."
02:46,"Crowd chanting 'City! City!' in waves."
02:47,"Pep’s sweater looks like it costs more than my rent."
02:48,"First corner vibes incoming soon? I feel it."
02:49,"Random cat walked across TV cam? Istanbul energy."
02:50,"City triangle passing = football art."
02:51,"Inter pressing forcing Ederson long kick."
02:52,"Bro why is Ederson’s mustache so perfect."
02:53,"Minute 2:53. Still 0-0 but intensity 🔥"
02:54,"Ball possession feels like 70-30 already."
02:55,"Someone in stands holding giant Nerf gun??"
02:56,"De Bruyne orchestrating like a conductor."
02:57,"Every Inter clearance feels like survival."
02:58,"City starting to suffocate Inter midfield."
02:59,"Minute 2:59. Feels like 29:00 already."
03:00,"Three minutes in. No shots yet. Chess match."
03:01,"Pep clapping furiously at simple sideways pass."
03:02,"Barella foul shout ignored, crowd furious."
03:03,"Random guy in pub betting Inter red card at 15'."
03:04,"City stretching Inter wide. Tactical Pep."
03:05,"My dog barking every time whistle blows."
03:06,"Ball goes out. First corner to City? No, throw-in."
03:07,"Walker overlap blocked. Inter compact."
03:08,"Minute 3:08. Still tense beyond belief."
03:09,"Crowd whistle like swarm of bees."
03:10,"Dimarco nearly loses balance, keeps ball."
03:11,"Pep rubbing head already, meme incoming."
03:12,"Bro in stands with green laser pointer??"
03:13,"Inter fans jumping non-stop, respect."
03:14,"First shot attempt? Nope, blocked instantly."
03:15,"Minute 3:15. Twitter on meltdown speedrun."
03:16,"De Bruyne calm under triple pressure."
03:17,"Ball recycled again, City patience crazy."
03:18,"Every Inter touch whistled by City fans."
03:19,"Random Italian flag upside down in stands."
03:20,"Still no card, ref letting play flow."
